dataset_key,dataset,repeat,seed,candidate,candidate_index,validation_mccbest_threshold,test_mcc_at_validation_mccbest_threshold,validation_log_loss,validation_ece_10,validation_prob_mean,validation_prob_variance,validation_pos_rate,score_SoftMCC,score_MCC_best,score_F1_best,score_AUPRC,score_AUROC,score_Brier_neg,score_MCC_05
synth1,synth(1%),11,53,logreg_C1.0,1,0.025561127676877883,0.21670888853823458,0.0996452125280364,0.0031597523854332626,0.01285593813477208,0.0003726132290631723,0.013333333333333334,-0.0014145447751932442,0.025706362384963516,0.041666666666666664,0.014287189461482358,0.46448010510510507,-0.013564951409532398,0.0
synth1,synth(1%),11,53,logreg_C10.0,2,0.034523809523809526,0.24003660818476785,0.0996496089733936,0.0033322077580023412,0.012967611725924685,0.0003810302327834748,0.013333333333333334,-0.0014379593673294457,0.03496590231466285,0.05,0.014810940690165005,0.4679054054054054,-0.013574038275080197,0.0
synth1,synth(1%),11,53,hgb_d3,3,0.012820767458488917,0.03567854705235669,0.09519962052421194,0.0015071213004199265,0.011826212032913404,0.00017722398496993814,0.013333333333333334,0.013665474638377374,0.08364702377553088,0.08,0.06226290865141183,0.5966122372372372,-0.012996168715918209,0.0
synth1,synth(1%),11,53,hgb_d6,4,0.019461715356443234,0.08292662529337648,0.07134390124170287,0.005189536374667531,0.013194929381839261,0.0012616992946701863,0.013333333333333334,0.008081396135879448,0.12588628306125707,0.125,0.045433849765196224,0.6815409159159159,-0.014205735121750756,-0.007767122075015001
cc10,creditcard(1%),0,42,logreg_C0.1,0,0.2308061792586896,0.8309722839384078,0.01126180943436852,0.001449985496478975,0.010547870733779545,0.007785290846962781,0.009939459654829674,0.7898043393128471,0.8766050905185895,0.8778280542986425,0.9008769480048417,0.988342860935724,-0.0016181622291804455,0.9139571656652224
cc10,creditcard(1%),0,42,logreg_C1.0,1,0.1950407469617509,0.8301319544482413,0.010901542511735727,0.0012396227006127084,0.010637502017819985,0.008144792611884713,0.009939459654829674,0.8110793539653193,0.8857462278871755,0.8868778280542986,0.9011340876115679,0.9848079683390444,-0.0014776161477344167,0.9188111448723522
cc10,creditcard(1%),0,42,logreg_C10.0,2,0.18273315071558172,0.8413001859370881,0.010866130346707196,0.0012910900115595445,0.010665417072933638,0.008192813910698347,0.009939459654829674,0.8120476351524891,0.8857462278871755,0.8868778280542986,0.9013420169842155,0.9846034498494114,-0.0014845304072084978,0.9188111448723522
cc10,creditcard(1%),0,42,hgb_d3,3,0.39854861548794,0.8661754916010789,0.0082109156653162,0.0017982286729674422,0.010576063667955122,0.0079543001724917,0.009939459654829674,0.8093351392507648,0.8948873652557614,0.8959276018099548,0.9227851480636017,0.9859935947961868,-0.0013696720848399998,0.929405761019568
cc10,creditcard(1%),0,42,hgb_d6,4,0.11011949685535286,0.86734325892112,0.00828138124695972,0.0012200173364678231,0.010407509612307488,0.008038249077053276,0.009939459654829674,0.8218264297402762,0.8948873652557614,0.8959276018099548,0.9196235461701757,0.9817323089432244,-0.001331955793598477,0.934002713570288
cc10,creditcard(1%),1,43,logreg_C0.1,0,0.26107638888887486,0.8455584951465792,0.014709080675923279,0.0011650034239958217,0.010515746878920809,0.007986573314422265,0.00995204921740704,0.7441736545590769,0.8126147353492743,0.8144796380090498,0.8287648834863613,0.9680019605725537,-0.0027699000592897195,0.8461335775971827
