dataset_key,dataset,repeat,seed,candidate,validation_brier,validation_log_loss,validation_ece_10,validation_prob_mean,validation_pos_rate
synth1,synth(1%),11,53,logreg_C1.0,0.013468279172164054,0.09952669576885242,0.0033732702476772687,0.012871720057073538,0.013333333333333334
synth1,synth(1%),11,53,logreg_C10.0,0.013473480823871974,0.09918937395359523,0.0033789824665600514,0.012933513043245266,0.013333333333333334
synth1,synth(1%),11,53,hgb_d3,0.013120471673286581,0.06806563191442222,0.0016195024408050926,0.012484933622980315,0.013333333333333334
synth1,synth(1%),11,53,hgb_d6,0.013452305726972504,0.06832195924188064,0.0037015975887505145,0.011957889968801743,0.013333333333333334
cc10,creditcard(1%),0,42,logreg_C0.1,0.0016181622291123125,0.01126180943365323,0.0014499854958050912,0.01054787073311216,0.009939459654829674
cc10,creditcard(1%),0,42,logreg_C1.0,0.001477615464486706,0.01090148260667699,0.0012395631038336205,0.010637442244936969,0.009939459654829674
cc10,creditcard(1%),0,42,logreg_C10.0,0.0014845150283846835,0.010866492105786654,0.0012906045745838082,0.010664933532873067,0.009939459654829674
cc10,creditcard(1%),0,42,hgb_d3,0.0013696720848399998,0.0082109156653162,0.0017982286729674422,0.010576063667955122,0.009939459654829674
cc10,creditcard(1%),0,42,hgb_d6,0.001331955793598477,0.00828138124695972,0.0012200173364678231,0.010407509612307488,0.009939459654829674
cc10,creditcard(1%),1,43,logreg_C0.1,0.002769814988009556,0.014708683528618248,0.0011645708005803043,0.010515486123840888,0.00995204921740704
cc10,creditcard(1%),1,43,logreg_C1.0,0.002619331179425818,0.014761259065102086,0.0012288829376283735,0.01055675421134076,0.00995204921740704
cc10,creditcard(1%),1,43,logreg_C10.0,0.002503802371143827,0.01627592324344404,0.0008855683142632579,0.010483128678098617,0.00995204921740704
cc10,creditcard(1%),1,43,hgb_d3,0.002505218328637903,0.01494538058886165,0.0009652033696002724,0.010416628137574989,0.00995204921740704
cc10,creditcard(1%),1,43,hgb_d6,0.0023938137318545395,0.0177307912917677,0.0009412857822854062,0.010261563665493129,0.00995204921740704
cc10,creditcard(1%),2,44,logreg_C0.1,0.0018162823036670332,0.009604819147147878,0.0019942743278149938,0.010228133966493918,0.010397830018083183
cc10,creditcard(1%),2,44,logreg_C1.0,0.0016081526675366137,0.008988452863228236,0.001853814015277191,0.010709948316970409,0.010397830018083183
cc10,creditcard(1%),2,44,logreg_C10.0,0.0015756420755904344,0.008851892859408178,0.001750220581222072,0.01074502896355102,0.010397830018083183
cc10,creditcard(1%),2,44,hgb_d3,0.0014984027739662615,0.008988291120829968,0.0017159601273372884,0.010606301550893682,0.010397830018083183
cc10,creditcard(1%),2,44,hgb_d6,0.0015506341595539221,0.010570574176922228,0.0016551008853121741,0.01026317210215954,0.010397830018083183
cc10,creditcard(1%),3,45,logreg_C0.1,0.002339901408122417,0.016451584888352196,0.0007977204428993896,0.010623285568361906,0.010009017132551848
cc10,creditcard(1%),3,45,logreg_C1.0,0.0024068822729308025,0.01868968248797037,0.000859730453602663,0.010603401310194433,0.010009017132551848
cc10,creditcard(1%),3,45,logreg_C10.0,0.0023901826868307444,0.018451122261105207,0.0009417590676090945,0.010483822102958248,0.010009017132551848
cc10,creditcard(1%),3,45,hgb_d3,0.002191195319944532,0.023764460650804595,0.0012788595862331792,0.010693385578592882,0.010009017132551848
cc10,creditcard(1%),3,45,hgb_d6,0.002103162742107769,0.01816797866946925,0.001265787662011505,0.010609085298854124,0.010009017132551848
cc10,creditcard(1%),4,46,logreg_C0.1,0.002868683171912846,0.015158372910716004,0.0013983453600526633,0.009533772385608562,0.01055670847243526
cc10,creditcard(1%),4,46,logreg_C1.0,0.002882456614994043,0.015491498376850885,0.0012661936008761467,0.009423640237326884,0.01055670847243526
cc10,creditcard(1%),4,46,logreg_C10.0,0.0029848894716554605,0.015716759098009975,0.0011732703151327015,0.009406116312255372,0.01055670847243526
cc10,creditcard(1%),4,46,hgb_d3,0.0024034209962223527,0.013595824695701959,0.0011170529056114182,0.009574122747303637,0.01055670847243526
cc10,creditcard(1%),4,46,hgb_d6,0.002321095960421156,0.01367718517193907,0.001362487914239166,0.00941217758862003,0.01055670847243526
cc10,creditcard(1%),5,47,logreg_C0.1,0.0022443034002070806,0.012897938187082432,0.0008544880115850738,0.010393145889944553,0.010315808524115464
cc10,creditcard(1%),5,47,logreg_C1.0,0.0022161677649678918,0.012897686585333022,0.0005767612485190948,0.010539284112568045,0.010315808524115464
cc10,creditcard(1%),5,47,logreg_C10.0,0.0022270036487879214,0.012932069925049295,0.000587893788613136,0.010448255576678974,0.010315808524115464
cc10,creditcard(1%),5,47,hgb_d3,0.001892868956703448,0.01122355575614052,0.0005552505458255543,0.010003993496682073,0.010315808524115464
cc10,creditcard(1%),5,47,hgb_d6,0.002015628756813438,0.011419348132426758,0.0007950097382772862,0.009987867572670865,0.010315808524115464
cc10,creditcard(1%),6,48,logreg_C0.1,0.002319215698379521,0.015651558110630223,0.001213766363701538,0.010009134940326517,0.009943053421314291
cc10,creditcard(1%),6,48,logreg_C1.0,0.0020428352544152235,0.014739118391261791,0.0010939623490245076,0.010039929569676368,0.009943053421314291
cc10,creditcard(1%),6,48,logreg_C10.0,0.0019142410883104853,0.014318045662259514,0.0011257650087041294,0.010155222907280988,0.009943053421314291
cc10,creditcard(1%),6,48,hgb_d3,0.001689101258963773,0.0100406410136773,0.001380382363090477,0.01030830431860386,0.009943053421314291
cc10,creditcard(1%),6,48,hgb_d6,0.0016920274550670583,0.009413043291420835,0.0012425415534214103,0.010402540221102943,0.009943053421314291
cc10,creditcard(1%),7,49,logreg_C0.1,0.002071888941216902,0.014192839864961292,0.00131894014205826,0.01040555613853871,0.009926901904160275
cc10,creditcard(1%),7,49,logreg_C1.0,0.002109337446677529,0.014219146846325262,0.0012045984155291717,0.010263621485877542,0.009926901904160275
cc10,creditcard(1%),7,49,logreg_C10.0,0.0020802625276890815,0.01395394279346163,0.0013523098012466863,0.010313794117476542,0.009926901904160275
cc10,creditcard(1%),7,49,hgb_d3,0.0017802247214391204,0.010785101846973176,0.0012703032869948179,0.010343504779569312,0.009926901904160275
cc10,creditcard(1%),7,49,hgb_d6,0.0016323854864360083,0.010536150799559567,0.0011382162310671702,0.01024124478439804,0.009926901904160275
cc10,creditcard(1%),8,50,logreg_C0.1,0.002413358818633381,0.012478152146186042,0.0008087435153575829,0.009519931953208617,0.010103743797925124
cc10,creditcard(1%),8,50,logreg_C1.0,0.002438249727395179,0.012645339063600563,0.0006195295112364943,0.009564188195553464,0.010103743797925124
cc10,creditcard(1%),8,50,logreg_C10.0,0.002387648593075855,0.012410922662108336,0.0008208261886407607,0.009659332163797534,0.010103743797925124
cc10,creditcard(1%),8,50,hgb_d3,0.0020019404183003295,0.011326317982901605,0.0005936807703940944,0.010025955982949105,0.010103743797925124
